Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Honduras,HND,8615404668.15174,11770779974.6587,20979791685.416,21796529142.7732,22852116284.6356,23730778960.5382,24338200129.3672,22156260473.8169,24940257609.6892,25973672631.7766,26904206369.3728,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Hong Kong SAR, China",HKG,121833074614.457,179510301393.921,309385622601.348,316116094447.437,328116190362.994,337457421078.426,331813812733.896,310097369914.178,330112320112.002,317952397986.884,328370191789.519,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Hungary,HUN,89359792060.7738,91568886542.0243,125174166987.372,127929252772.234,133394359768.376,140547430034.099,147383974295.866,140770787502.349,150710923361.943,157618619387.289,156187937314.849,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Iceland,ISL,9025210435.70435,11859726687.7669,17517210519.0912,18621440660.0019,19402600566.9271,20351227274.147,20729999827.2907,19291243912.7068,20304846331.8777,22130761184.0171,23245527336.2072,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,India,IND,465242841648.51,800534479623.61,2103588360044.94,2277267041550.36,2432016068497.75,2588974770244.57,2689205295885.31,2533830417086.54,2779348258938.77,2973542414790.52,3215973434046.11,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Indonesia,IDN,269915108922.485,395012382612.012,860854232717.718,904181621813.478,950021694198.768,999178586345.587,1049330234035.85,1027656193922.98,1065709127435.86,1122270779856.21,1178924195856.71,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Iran, Islamic Rep.",IRN,188112392401.369,258056537599.93,409191686496.677,445262288195.34,457544871772.728,449135162389.142,435344072056.544,449842285446.341,471073841462.031,488864564083.075,513527246086.276,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Iraq,IRQ,62001516291.8778,101916218527.399,166774104959.102,189767872908.426,186314571374.742,191221819559.378,201765390224.362,177479307669.569,180145367592.813,193908133926.674,188215848693.258,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Ireland,IRL,82512722864.4398,162266448871.098,302391428540.035,306088582898.588,336849348481.597,362262415044.573,380522434249.483,407759845120.691,474043708510.292,514903922802.965,486429697970.113,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Isle of Man,IMN,1932573079.00908,3501118028.55419,7084800892.22284,7577357763.77277,7792384795.57871,7964861187.42612,7985161928.93659,7279527750.17696,7558904135.25498,..,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Israel,ISR,103952624561.519,184596462844.647,302722655203.465,315943412203.594,329445006817.89,342868164572.703,355846209596.501,350634465931.993,383397426954.248,408204664808.542,418095492045.796,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Italy,ITA,1566879171365.36,1856863206832.4,1845428048839.1,1868241619898.42,1898202609756.92,1913894038939.75,1922107755102.45,1751650987476.49,1908092024347.85,1997042745688.22,2010974774790.36,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Jamaica,JAM,10772517032.2001,12852232022.9367,14188936958.4343,14384066492.0877,14527493336.382,14802051873.2326,14934129346.6919,13452615560.5656,14071627509.4333,14806380332.6868,15132129801.7169,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Japan,JPN,3509518031571.16,3986755544464.21,4444930651964.18,4478437728055.55,4553466417292.21,4582763011477.35,4564332550094.45,4375044252274.51,4487015645273.13,4529854841042.58,4605911988191.95,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Jordan,JOR,11598569492.0435,18380669691.8022,38587017887.3239,39356512808.3494,40330034782.8485,41103996749.7366,41823826702.478,41362613665.9359,42874682706.305,44009762561.5966,45188463506.0246,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Kazakhstan,KAZ,95326487409.9576,66179326672.5077,184388404706.042,186416677156.152,194059760924.352,202016211108.857,211106940610.612,205829267103.2,214679925583.069,221549683201.099,232848717043.771,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Kenya,KEN,30431959354.312,36630908098.8264,70120446896.8359,73074983895.0953,75879571212.3885,80165208728.3956,84264984851.3549,84035138346.859,90413816676.9795,94807911027.625,100075318170.786,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Kiribati,KIR,103872759.136314,137844755.755561,191559398.175292,205137185.020505,212828044.805228,220233266.373554,227422251.262382,226144100.8008,245417596.374769,255002019.364619,265519808.540098,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Korea, Rep.",KOR,401560542993.627,798929132744.302,1466038936206.43,1509241369553.54,1556927899270.75,1602194079769.04,1638146960195.06,1626525694049.93,1696543311942.81,1740868427277.01,1764487367948.7,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Kosovo,XKX,..,..,6295848422.71573,6646638934.14947,6967382841.60846,7204735953.90435,7547450874.83231,7144396206.5298,7912108452.01596,8250627929.71309,8586232700.23679,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Kuwait,KWT,33933574483.5005,61264446307.3183,114585555830.916,117938413874.778,112380894485.055,115463873883.03,118077764579.78,112389452571.326,114930360168.746,121664370029.182,117235268788.392,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Kyrgyz Republic,KGZ,5284729934.9621,3518703233.18908,6678177511.66313,6967733666.77765,7297999868.50301,7572252145.25549,7920623120.2686,7354379549.41978,7759385792.10421,8455209116.53133,8975322159.94048,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Lao PDR,LAO,2736044527.0661,4981659930.07599,14426380125.6488,15439521179.3987,16503694943.2856,17534839203.1116,18491844275.7106,18584864138.19,19054754737.3799,19570648221.6862,20303702352.295,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Latvia,LVA,20300396971.9869,15001703822.9086,26344565876.8902,27016796437.5492,27935083671.9621,29139005014.4504,29335802644.3992,28318076426.6769,30285399223.0726,30834377325.2508,31360657012.7125,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Lebanon,LBN,9896526025.77854,25798443405.5655,49929337836.8159,50705514062.8608,51163399287.7034,50199119756.2008,46727888410.6848,36728167162.8739,34156740537.1604,33944395264.1769,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Lesotho,LSO,966060902.402024,1453365294.1512,2359686724.53829,2444845631.39553,2368122098.53455,2333058897.5103,2299976266.27346,2112391149.60613,2160272945.18777,2211855514.87917,2252257826.396,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Liberia,LBR,1676942910.41919,2210291803.5902,3227075700,3176896008.31,3254893758.73415,3292571599.13518,3211334057.92828,3115556299.79146,3270920145.66908,3428189426.39464,3588757484.77383,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Libya,LBY,49279670598.2636,57579668503.4421,48717501321.3052,47991152062.8031,63584342257.9606,68633808773.5188,60949510655.8708,42996651437.748,55179091532.8781,50625917039.5711,55767393124.5653,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Liechtenstein,LIE,..,..,6268515276.17441,..,..,..,..,..,..,..,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Lithuania,LTU,30815380275.5025,22342117951.3527,41540954817.2039,42650895979.8047,44618059006.3441,46812540143.4277,49002127219.1508,49023106998.3996,52150789442.1719,53474128766.591,53657150684.4898,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Luxembourg,LUX,25212438894.5285,40369840661.3785,60071584216.1375,63062062076.8293,63892707778.4988,64671765568.8058,66557495896.7378,65951935965.6765,70679635853.8902,71655146215.6371,70870003856.6378,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Macao SAR, China",MAC,10507335800.878,13677257382.818,45048190598.3249,44742259638.202,49153900999.4643,52302387928.1473,50961633173.3488,23271041384.4531,28748111098.7847,23110797292.1894,40458079958.3397,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Madagascar,MDG,6492398920.48671,7688842733.27739,11323020701.3017,11775165456.5346,12238318933.7165,12629254472.2012,13186360203.1442,12245161113.1284,12947986307.5875,13465905759.7223,13977610178.6045,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Malawi,MWI,3377048507.11464,4736773940.22414,9219474379.31534,9449961238.70793,9827959688.29237,10255826273.6034,10842133933.6548,10928176721.465,11426314939.8368,11531564448.5797,11749794461.0779,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Malaysia,MYS,74627553679.509,148271359064.948,301355266964.947,314764917575.088,333061328477.268,349191778300.005,364602265936.14,344706479641.244,356134704342.139,387694727478.777,401479163711.428,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Maldives,MDV,1031716819.83695,1988057617.6931,4129505319.12921,4400906157.06973,4711369798.88163,5119751627.13987,5493408290.20633,3685591962.05463,5067979008.49449,5768682322.98336,6041332856.45728,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Mali,MLI,4198817500.53154,6257621170.98229,13104764378.326,13871694399.1238,14607651053.629,15301000921.4682,16028741130.4821,15830713976.5248,16313964499.5084,16880866888.027,17666971044.33,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Malta,MLT,3565676659.96904,6701025860.88934,11340795041.8065,11803240829.4114,13334371316.2031,14292992142.7162,14876818854.4189,14359895887.8999,16292781700.2476,16968587192.6425,18240978817.4633,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Marshall Islands,MHL,140496545,154176500,183700000,188300000,195000000,205700000,227200000,220900000,223600000,221100000,212400000,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Mauritania,MRT,2806313536.00188,3409611141.00167,6166863896.68677,6244622452.80308,6636194355.58626,6952885074.44597,7171275534.84383,7145411800.0896,7198481873.57489,7687691068.95683,8187943518.06282,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Mauritius,MUS,4034441844.05055,6730791855.59575,12007291045.6489,12471068851.5812,12962177523.4319,13481538349.276,13871328044.4569,11853530018.6947,12257000314.8444,13345407871.3997,14274019706.2322,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Mexico,MEX,665614206222.858,945027051117.631,1213294467716.88,1234800030119.7,1257912134612.3,1282719194684.06,1277682077988.06,1170944075658.48,1241768434200.36,1287578651261.79,1328780925599.41,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Micronesia, Fed. Sts.",FSM,243162525.880859,310899125.003711,316489900,318022033.310273,320639498.605008,320639498.605008,333726825.078682,327183161.841845,336344290.373416,333726825.078682,336344290.373416,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Moldova,MDA,11137693132.5555,3939281163.91139,7797667196.73087,8159947934.63828,8500675703.95748,8847128857.51461,9161406662.06896,8403210632.93021,9573777856.36482,9093606720.69544,9164831732.38352,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Monaco,MCO,3214255640.44724,3909415913.17981,6264756528.37691,6453228194.42908,6246325873.74088,6602235351.40181,7072373236.60927,6136054329.90152,7500235156.94536,8328781591.62882,8748833912.54286,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Mongolia,MNG,3826905840.8639,3817248910.66296,11619892590.6941,11793003947.8926,12457761002.7432,13422599720.3616,14174566537.4555,13528524951.0287,13749955731.6936,14441951078.838,15513848972.8704,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Montenegro,MNE,..,2680896704.41373,4054730077.57718,4174315433.82382,4371195571.75916,4593160022.61922,4779777587.71771,4048142110.54292,4576160079.60802,4869340027.24234,5177944070.4817,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Morocco,MAR,41636515790.1878,56160912155.7573,110413823841.592,110989284688.174,116603009678.139,120177639735.159,123651944968.713,114775951852.213,124135631043.727,126031434844.786,130320714718.834,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Mozambique,MOZ,2894534061.64812,5210292403.59676,16208985769.615,16970320249.5828,17418032489.647,18025039081.8692,18442825951.8799,18217911539.7402,18651030677.5113,19465045724.9322,20523332839.0076,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Myanmar,MMR,6778227478.72603,13523413252.0523,59607290407.5944,63101751663.2085,66973743448.8725,71172235145.7162,75854734833.5625,68991135073.4698,60700903302.853,63151698289.2596,63756973610.2645,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Namibia,NAM,3912561187.29612,5607973667.33031,11335161083.5061,11338991738.8743,11222512162.9739,11341464002.1253,11246291861.588,10335184546.1643,10707646943.9364,11280470086.908,11749736035.6202,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Nauru,NRU,199589671.908338,61929807.4873982,84383388.6448573,88065238.8664388,82771434.8199856,81762350.0363199,88701305.315275,90459205.0752441,96978233.3230252,99909532.5822959,100499697.867484,..
