Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Population, total",SP.POP.TOTL,Tanzania,TZA,26110207,34260139,52020962,53824013,55652890,57437145,59174891,60972798,62830412,64711821,66617606,..
"Population, total",SP.POP.TOTL,Thailand,THA,54738329,63007815,70540795,70859841,71160187,71376079,71522271,71641484,71727332,71735329,71702435,..
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,760345,745088,1205131,1228312,1251703,1275959,1300945,1326053,1350139,1369295,1384286,..
"Population, total",SP.POP.TOTL,Togo,TGO,3998761,5140037,7663195,7858289,8057140,8258778,8463068,8669720,8878379,9089738,9304337,..
"Population, total",SP.POP.TOTL,Tonga,TON,99700,102677,106095,105524,105356,105567,105669,105704,105490,105042,104597,..
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1252208,1319774,1349667,1353895,1356633,1359193,1363985,1366725,1367558,1365805,1367510,..
"Population, total",SP.POP.TOTL,Tunisia,TUN,8324509,9764935,11402264,11528674,11650498,11765514,11875081,11974057,12048622,12119334,12200431,..
"Population, total",SP.POP.TOTL,Turkiye,TUR,56015628,65425961,78218479,79277962,80312698,81407204,82579440,83384680,84147318,84979913,85325965,..
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,3760562,4582677,6215770,6360041,6507061,6655524,6803944,6949912,7092043,7230193,7364438,..
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,11688,18730,36605,38315,39913,41559,43166,44386,45243,45847,46198,..
"Population, total",SP.POP.TOTL,Tuvalu,TUV,8798,9544,10963,10930,10869,10751,10581,10399,10194,9992,9816,..
"Population, total",SP.POP.TOTL,Uganda,UGA,17569897,24000150,37531446,38799152,40177388,41565831,42999637,44457152,45910930,47312719,48656601,..
"Population, total",SP.POP.TOTL,Ukraine,UKR,52054092,49556660,45784896,45616832,45436041,45208907,44957458,44680014,44298640,41048766,37732836,..
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,1898220,3493575,8505237,8935095,9223225,9346701,9445785,9401038,9575152,10074977,10483751,..
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57247586,58892514,65116219,65611593,66058859,66460344,66836327,67081234,67026292,67791000,68350000,..
"Population, total",SP.POP.TOTL,United States,USA,249623000,282162411,320738994,323071755,325122128,326838199,328329953,331526933,332048977,333271411,334914895,..
"Population, total",SP.POP.TOTL,Uruguay,URY,3104403,3266206,3368017,3379283,3388438,3394534,3397206,3398968,3396695,3390913,3388081,..
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,20464956,24787054,30749346,31284568,31819178,32373490,32964701,33586372,34243696,34938955,35652307,..
"Population, total",SP.POP.TOTL,Vanuatu,VUT,148063,186281,266101,272087,278507,285259,291985,298858,305868,313046,320409,..
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,19827010,24526708,30573972,30765720,30565323,29807592,28938098,28444077,28237826,28213017,28300854,..
