Entity,Code,Year,Renewables (% equivalent primary energy)
Asia Pacific (EI),,1988,5.9064307
Asia Pacific (EI),,1989,6.026567
Asia Pacific (EI),,1990,5.9065022
Asia Pacific (EI),,1991,5.7897253
Asia Pacific (EI),,1992,5.425028
Asia Pacific (EI),,1993,5.618271
Asia Pacific (EI),,1994,5.4077187
Asia Pacific (EI),,1995,5.661286
Asia Pacific (EI),,1996,5.303545
Asia Pacific (EI),,1997,5.212605
Asia Pacific (EI),,1998,5.5573955
Asia Pacific (EI),,1999,5.3396554
Asia Pacific (EI),,2000,5.377791
Asia Pacific (EI),,2001,5.63432
Asia Pacific (EI),,2002,5.4447913
Asia Pacific (EI),,2003,5.1578817
Asia Pacific (EI),,2004,5.475855
Asia Pacific (EI),,2005,5.311402
Asia Pacific (EI),,2006,5.527023
Asia Pacific (EI),,2007,5.5560207
Asia Pacific (EI),,2008,6.3195376
Asia Pacific (EI),,2009,6.151836
Asia Pacific (EI),,2010,6.6210475
Asia Pacific (EI),,2011,6.5951953
Asia Pacific (EI),,2012,7.2704225
Asia Pacific (EI),,2013,7.868499
Asia Pacific (EI),,2014,8.648241
Asia Pacific (EI),,2015,8.979429
Asia Pacific (EI),,2016,9.625653
Asia Pacific (EI),,2017,10.076121
Asia Pacific (EI),,2018,10.659423
Asia Pacific (EI),,2019,11.170016
Asia Pacific (EI),,2020,12.109911
Asia Pacific (EI),,2021,12.769394
Asia Pacific (EI),,2022,13.636535
Asia Pacific (EI),,2023,13.810032
Australia,AUS,1965,5.562621
Australia,AUS,1966,5.071894
Australia,AUS,1967,4.9495487
Australia,AUS,1968,4.8654675
Australia,AUS,1969,5.086988
Australia,AUS,1970,5.4214506
Australia,AUS,1971,5.8227277
Australia,AUS,1972,5.599285
Australia,AUS,1973,5.5886645
Australia,AUS,1974,5.9551096
Australia,AUS,1975,6.2970085
Australia,AUS,1976,5.7934217
Australia,AUS,1977,5.269775
Australia,AUS,1978,5.508696
Australia,AUS,1979,5.165841
Australia,AUS,1980,4.862272
Australia,AUS,1981,4.9303546
Australia,AUS,1982,4.6367826
Australia,AUS,1983,4.4233117
Australia,AUS,1984,4.615918
Australia,AUS,1985,4.761565
Australia,AUS,1986,4.7064905
Australia,AUS,1987,4.453812
Australia,AUS,1988,4.557184
Australia,AUS,1989,4.3442817
Australia,AUS,1990,4.382939
Australia,AUS,1991,4.655454
Australia,AUS,1992,4.650364
Australia,AUS,1993,4.6700525
Australia,AUS,1994,4.4463954
Australia,AUS,1995,4.239725
Australia,AUS,1996,4.2365913
Australia,AUS,1997,4.1458397
Australia,AUS,1998,4.037756
Australia,AUS,1999,4.008933
Australia,AUS,2000,3.9888775
Australia,AUS,2001,3.870762
Australia,AUS,2002,3.93145
Australia,AUS,2003,4.0149684
Australia,AUS,2004,4.0365605
Australia,AUS,2005,4.313553
Australia,AUS,2006,4.2334137
Australia,AUS,2007,3.976723
Australia,AUS,2008,3.6813264
Australia,AUS,2009,3.920266
Australia,AUS,2010,4.3128047
Australia,AUS,2011,5.688442
Australia,AUS,2012,5.688193
Australia,AUS,2013,6.5121694
Australia,AUS,2014,5.9665833
Australia,AUS,2015,6.2833037
Australia,AUS,2016,7.1866965
Australia,AUS,2017,6.7443275
Australia,AUS,2018,8.280843
Australia,AUS,2019,8.875715
Australia,AUS,2020,10.84823
Australia,AUS,2021,12.923943
Australia,AUS,2022,13.918375
Australia,AUS,2023,14.982515
Austria,AUT,1965,25.096405
Austria,AUT,1966,25.840193
Austria,AUT,1967,26.118927
Austria,AUT,1968,25.099167
Austria,AUT,1969,22.275368
Austria,AUT,1970,24.770256
Austria,AUT,1971,19.6523
Austria,AUT,1972,19.524147
Austria,AUT,1973,20.17739
Austria,AUT,1974,23.734528
Austria,AUT,1975,25.034246
Austria,AUT,1976,20.905321
Austria,AUT,1977,25.271303
Austria,AUT,1978,24.244623
Austria,AUT,1979,25.784452
Austria,AUT,1980,26.826015
Austria,AUT,1981,29.280655
Austria,AUT,1982,30.31977
Austria,AUT,1983,30.117788
Austria,AUT,1984,26.689833
Austria,AUT,1985,29.769283
Austria,AUT,1986,30.177654
Austria,AUT,1987,32.19381
Austria,AUT,1988,32.73335
Austria,AUT,1989,32.40866
Austria,AUT,1990,29.002949
Austria,AUT,1991,27.730644
Austria,AUT,1992,31.117104
Austria,AUT,1993,32.029503
Austria,AUT,1994,31.325546
Austria,AUT,1995,31.42617
Austria,AUT,1996,28.285664
Austria,AUT,1997,29.506136
Austria,AUT,1998,29.778776
Austria,AUT,1999,31.975576
Austria,AUT,2000,32.59177
Austria,AUT,2001,30.667883
Austria,AUT,2002,30.20616
Austria,AUT,2003,25.237972
Austria,AUT,2004,27.2749
Austria,AUT,2005,27.495369
Austria,AUT,2006,28.128286
Austria,AUT,2007,30.249714
Austria,AUT,2008,30.772125
Austria,AUT,2009,33.78162
Austria,AUT,2010,31.314482
Austria,AUT,2011,30.305702
Austria,AUT,2012,35.76177
Austria,AUT,2013,35.3089
Austria,AUT,2014,36.303062
Austria,AUT,2015,34.274372
Austria,AUT,2016,35.304802
Austria,AUT,2017,34.45584
Austria,AUT,2018,34.361984
Austria,AUT,2019,35.472965
Austria,AUT,2020,38.188835
Austria,AUT,2021,35.835045
Austria,AUT,2022,36.066544
Austria,AUT,2023,40.080193
Azerbaijan,AZE,1985,1.6519357
Azerbaijan,AZE,1986,0.9406938
Azerbaijan,AZE,1987,0.9706843
Azerbaijan,AZE,1988,0.8420581
Azerbaijan,AZE,1989,0.82573384
Azerbaijan,AZE,1990,1.8816599
Azerbaijan,AZE,1991,2.077973
Azerbaijan,AZE,1992,2.409933
Azerbaijan,AZE,1993,3.8572147
Azerbaijan,AZE,1994,3.1670032
Azerbaijan,AZE,1995,2.8640728
Azerbaijan,AZE,1996,3.449877
Azerbaijan,AZE,1997,4.012826
Azerbaijan,AZE,1998,4.5553145
Azerbaijan,AZE,1999,3.5244207
Azerbaijan,AZE,2000,3.4349427
Azerbaijan,AZE,2001,3.004117
Azerbaijan,AZE,2002,4.6939816
Azerbaijan,AZE,2003,5.265774
Azerbaijan,AZE,2004,5.158582
Azerbaijan,AZE,2005,5.165004
Azerbaijan,AZE,2006,4.3662996
Azerbaijan,AZE,2007,4.424734
Azerbaijan,AZE,2008,4.149183
Azerbaijan,AZE,2009,4.957092
Azerbaijan,AZE,2010,7.4485464
Azerbaijan,AZE,2011,5.064942
Azerbaijan,AZE,2012,3.326695
Azerbaijan,AZE,2013,2.7732375
Azerbaijan,AZE,2014,2.4248233
Azerbaijan,AZE,2015,2.7496912
Azerbaijan,AZE,2016,3.336916
Azerbaijan,AZE,2017,3.0411422
Azerbaijan,AZE,2018,2.9853578
Azerbaijan,AZE,2019,2.5992641
Azerbaijan,AZE,2020,1.8952278
Azerbaijan,AZE,2021,2.0421486
Azerbaijan,AZE,2022,2.312958
Azerbaijan,AZE,2023,2.3216853
Bangladesh,BGD,1971,3.8597577
Bangladesh,BGD,1972,3.4065342
Bangladesh,BGD,1973,5.024387
Bangladesh,BGD,1974,3.4634593
Bangladesh,BGD,1975,6.0439763
Bangladesh,BGD,1976,5.868124
Bangladesh,BGD,1977,5.0797763
Bangladesh,BGD,1978,5.536711
Bangladesh,BGD,1979,5.825671
Bangladesh,BGD,1980,4.9608803
Bangladesh,BGD,1981,5.0166492
Bangladesh,BGD,1982,3.8052511
Bangladesh,BGD,1983,4.8706584
Bangladesh,BGD,1984,6.105583
Bangladesh,BGD,1985,4.526682
Bangladesh,BGD,1986,2.5327973
Bangladesh,BGD,1987,2.6365013
Bangladesh,BGD,1988,3.090864
Bangladesh,BGD,1989,3.9078643
Bangladesh,BGD,1990,3.5392716
Bangladesh,BGD,1991,3.4776094
Bangladesh,BGD,1992,3.0288851
Bangladesh,BGD,1993,2.104329
Bangladesh,BGD,1994,2.7616801
Bangladesh,BGD,1995,1.0269948
Bangladesh,BGD,1996,1.9475641
Bangladesh,BGD,1997,1.8034276
Bangladesh,BGD,1998,2.0371237
Bangladesh,BGD,1999,1.939729
Bangladesh,BGD,2000,1.627094
Bangladesh,BGD,2001,1.8750292
Bangladesh,BGD,2002,1.4013307
Bangladesh,BGD,2003,1.318648
Bangladesh,BGD,2004,1.2339083
Bangladesh,BGD,2005,1.1331255
Bangladesh,BGD,2006,1.0455985
Bangladesh,BGD,2007,1.0152336
Bangladesh,BGD,2008,1.2211707
Bangladesh,BGD,2009,0.5095948
Bangladesh,BGD,2010,0.8614878
Bangladesh,BGD,2011,1.0177838
Bangladesh,BGD,2012,0.87331915
Bangladesh,BGD,2013,0.82658607
Bangladesh,BGD,2014,0.68497545
Bangladesh,BGD,2015,0.82069933
Bangladesh,BGD,2016,0.7713849
Bangladesh,BGD,2017,0.879046
Bangladesh,BGD,2018,0.7318307
Bangladesh,BGD,2019,0.6592997
Bangladesh,BGD,2020,0.6715829
Bangladesh,BGD,2021,0.69316477
Bangladesh,BGD,2022,0.8309142
Bangladesh,BGD,2023,1.0080311
Belarus,BLR,1985,0.0144934775
Belarus,BLR,1986,0.012695332
Belarus,BLR,1987,0.012513183
